Cafe_Name,Cafe_Coordinates,Place_Id,Cafe_Types,Rating,Number_Ratings,Vicinity,Borough_Coordinates,lat,lng
Manicomio City Restaurant,"51.5155225, -0.0954193",ChIJ6agvSFUbdkgR3PO7Wiq5wyA,"['cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.2,398,"6 Gutter Lane, London","51.545, -0.0553",51.5155225,-0.0954193
Strongroom Bar,"51.5259464, -0.08005219999999999",ChIJf8u2m7ocdkgRLeLo56yXOug,"['bar', 'cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.2,2003,"120-124 Curtain Road, London","51.545, -0.0553",51.5259464,-0.0800521999999999
Bottega Prelibato Restaurant,"51.52612739999999, -0.08142909999999999",ChIJX85JrrocdkgRn0nUGes3k1s,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.1,682,"43-45 Rivington Street, London","51.545, -0.0553",51.52612739999999,-0.0814290999999999
Paper Dress Vintage,"51.5473541, -0.05467259999999999",ChIJGfZUnLocdkgRGn_TKi4O0WM,"['cafe', 'clothing_store', 'night_club', 'bar', 'home_goods_store', 'point_of_interest', 'food', 'store', 'establishment']",4.6,498,"352a Mare Street, London","51.545, -0.0553",51.5473541,-0.0546725999999999
Bike Shed Moto Co.,"51.5271434, -0.0788825",ChIJ9e503dICdkgRulsUq3cF-8Y,"['cafe', 'clothing_store', 'bar', 'hair_care', 'health', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.7,3675,"384 Old Street, London","51.545, -0.0553",51.5271434,-0.0788825
Caravan Exmouth Market Restaurant,"51.52546299999999, -0.1100856",ChIJT_W5ikUbdkgRoEa2c9t3e5s,"['restaurant', 'cafe', 'bar', 'point_of_interest', 'food', 'store', 'establishment']",4.2,1266,"11-13 Exmouth Market, London","51.545, -0.0553",51.52546299999999,-0.1100856
Gallery Cafe,"51.52987400000001, -0.05447",ChIJr34Mk9scdkgRqczSG77MsbE,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.3,941,"St. Margarets House Settlement, 21 Old Ford Road, Bethnal Green, London","51.545, -0.0553",51.52987400000001,-0.05447
Gallipoli Restaurant,"51.5385288, -0.1026159",ChIJ-S8EqGcbdkgRvtjI--yC5KE,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.4,1423,"119-120 Upper Street, London","51.545, -0.0553",51.5385288,-0.1026159
Costa Coffee,"51.519943, -0.105043",ChIJX36gA1IbdkgR_qGNlo6ZDbk,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.1,280,"46 Cowcross Street, London","51.545, -0.0553",51.519943,-0.105043
Med's Cafe,"51.522864, -0.03397489999999999",ChIJo-nayTEddkgR2WOy_wNNC9Q,"['cafe', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.2,634,"37 Burdett Road, London","51.545, -0.0553",51.522864,-0.0339748999999999
London Lodge Hotel,"51.495723, -0.19496",ChIJC8OFcvMPdkgReKARKoiXKs0,"['cafe', 'lodging', 'clothing_store', 'night_club', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,365,"134-136 Lexham Gardens, London","51.4927, -0.2339",51.495723,-0.19496
Afternoon Tea at The Milestone Hotel,"51.50200719999999, -0.1866267",ChIJ98briVgFdkgR3vxkMvlFN28,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,92,"1-3 Kensington Court, London","51.4927, -0.2339",51.50200719999999,-0.1866267
Bluebird,"51.4847353, -0.1755033",ChIJuW4AjG8FdkgRDb_vqbTS508,"['cafe', 'night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,3101,"350 King's Road, London","51.4927, -0.2339",51.4847353,-0.1755033
Serpentine Gallery,"51.50462700000001, -0.175073",ChIJOQxY9E8FdkgRe1P4OVUdwM8,"['art_gallery', 'tourist_attraction', 'cafe', 'museum', 'food', 'point_of_interest', 'establishment']",4.4,1635,London,"51.4927, -0.2339",51.50462700000001,-0.175073
The Orangery Restaurant,"51.5065855, -0.1877335",ChIJ7w-V58oNdkgRMcz9MMtot9Q,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",3.9,499,"Kensington Palace Gardens, London","51.4927, -0.2339",51.5065855,-0.1877335
"Dukes Meadows Golf, Tennis & Ski","51.472398, -0.2634714",ChIJ57ACrWEOdkgRajz4Kz-BExA,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.3,730,"Dan Mason Drive, London","51.4927, -0.2339",51.472398,-0.2634714
La Piccola Deli Pasticceria,"51.4986294, -0.2008059",ChIJg-N64-0PdkgRT1mKgT3DLs0,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,561,"La Piccola Deli Pasticceria, 270 Kensington High Street, London","51.4927, -0.2339",51.4986294,-0.2008059
The Hummingbird Bakery,"51.5140807, -0.2038636",ChIJFaENbuIPdkgRpLxw62U-cws,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,297,"133 Portobello Road, London","51.4927, -0.2339",51.5140807,-0.2038636
Fulham Palace,"51.4707092, -0.2159675",ChIJd2HTbaAPdkgRzADh38gQpO0,"['museum', 'tourist_attraction', 'cafe', 'park', 'food', 'point_of_interest', 'establishment']",4.5,1685,"Bishop's Avenue, London","51.4927, -0.2339",51.4707092,-0.2159675
The Hummingbird Bakery - South Kensington,"51.4933004, -0.1754869",ChIJHeUXBWgFdkgR3eOA_V-hKEs,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.0,269,"47 Old Brompton Road, London","51.4927, -0.2339",51.4933004,-0.1754869
ODEON Luxe Putney,"51.4652107, -0.2142387",ChIJgUvfVQwPdkgRQHqiMvvlzBU,"['movie_theater', 'cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",4.4,1193,"26 Putney High Street, London","51.4927, -0.2339",51.4652107,-0.2142387
Betty Blythe,"51.497602, -0.2175909",ChIJoUqLysYPdkgRMhFRzLdSSsk,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,170,"73 Blythe Road, London","51.4927, -0.2339",51.497602,-0.2175909
Coco Momo,"51.4981216, -0.1835399",ChIJrWezwF4FdkgR5k5LjWXMp8Q,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,1028,"25 Gloucester Road, South Kensington, London","51.4927, -0.2339",51.4981216,-0.1835399
The Magic Cafe,"51.47506300000001, -0.21423",ChIJvcNu_6APdkgRk8rzNDb_oVk,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.4,54,"359 Fulham Palace Road, London","51.4927, -0.2339",51.47506300000001,-0.21423
Le Pain Quotidien,"51.4950084, -0.1736302",ChIJ7bOFjEIFdkgRwCbRqdYFfEY,"['restaurant', 'cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",3.9,1783,"15-17 Exhibition Road, London","51.4927, -0.2339",51.4950084,-0.1736302
The Prince Edward,"51.5129205, -0.1935085",ChIJXdGdcP4PdkgRwdBqUcXiqro,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",4.3,915,"73 Prince's Square, London","51.4927, -0.2339",51.5129205,-0.1935085
Putney Leisure Centre,"51.46365619999999, -0.2286599",ChIJyV5LXgMPdkgRl5Kl8sVW7BQ,"['cafe', 'gym', 'school', 'health', 'food', 'point_of_interest', 'establishment']",3.7,723,"Dryburgh Road, London","51.4927, -0.2339",51.46365619999999,-0.2286599
Caffè Concerto Kensington,"51.5018036, -0.191723",ChIJgwQn4PYPdkgRVZlJuahYFpE,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,1993,"88 Kensington High Street, London","51.4927, -0.2339",51.5018036,-0.191723
Stonebridge Lock Waterside Cafe,"51.5976247, -0.0502964",ChIJF3oCXCocdkgRRNnfZq9libc,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,285,"Watermead Way, London","51.6, -0.1119",51.5976247,-0.0502964
Autograf Restaurant,"51.58778710000001, -0.099087",ChIJ8cOgRfcbdkgRvjVdEdKoYFM,"['cafe', 'meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,943,"488 West Green Road, Duckett's Green, London","51.6, -0.1119",51.58778710000001,-0.099087
Park Theatre,"51.5657146, -0.1085131",ChIJqaky95obdkgRrAYqOEJqzFY,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']",4.6,1183,"13 Clifton Terrace, London","51.6, -0.1119",51.5657146,-0.1085131
Costa Coffee,"51.57886, -0.12408",ChIJhZfaTscbdkgRlZdqVCiPY4Q,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.0,295,"1 The Broadway, London","51.6, -0.1119",51.57886,-0.12408
Costa Coffee,"51.57106, -0.14809",ChIJZ20dkU4adkgRWapJzD0CpC0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,202,"66 Highgate High Street, London","51.6, -0.1119",51.57106,-0.14809
Asda Living Tottenham,"51.5872527, -0.06118089999999998",ChIJhSaewjocdkgRySLQiP1aBoI,"['home_goods_store', 'cafe', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",4.1,2071,"Unit 4a, Tottenham Hale Retail Park, Broad Lane, London","51.6, -0.1119",51.5872527,-0.0611808999999999
The Haberdashery,"51.5812225, -0.1235522",ChIJDW4aLcEbdkgRXponAUDais8,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,490,"22 Middle Lane, London","51.6, -0.1119",51.5812225,-0.1235522
ArtHouse Crouch End,"51.5818634, -0.12003",ChIJESKOosEbdkgRwqRUxCUwp4o,"['movie_theater', 'cafe', 'food', 'point_of_interest', 'establishment']",4.6,528,"159A Tottenham Lane, London","51.6, -0.1119",51.5818634,-0.12003
Aladdin's Vintage Furniture & Cafe,"51.5695455, -0.1243871",ChIJW7rCb7sbdkgRr9FVKm8aJ1o,"['cafe', 'moving_company', 'storage', 'furniture_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",4.6,101,"1 Hazellville Road, London","51.6, -0.1119",51.5695455,-0.1243871
The Archway Tavern,"51.5659627, -0.1349262",ChIJvZQfDrIbdkgROCFmyEkSgcs,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']",4.2,342,"1 Navigator Square, Archway, London","51.6, -0.1119",51.5659627,-0.1349262
Costa Coffee,"51.58758400000001, -0.063354",ChIJhSaewjocdkgRNporYICF_YI,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.9,1152,"Unit E, Tottenham Hale Retail Park, London","51.6, -0.1119",51.58758400000001,-0.063354
Costa Coffee,"51.576439, -0.097673",ChIJHWbkG4sbdkgRJaxwruoRUXA,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.7,328,"Unit 4C, The Arena Shopping Pa, London","51.6, -0.1119",51.576439,-0.097673
Jenny's Cafe & Restaurant N10,"51.5915429, -0.1430246",ChIJpxBC5ywadkgRw8MU5BO1l2A,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,441,"237 Muswell Hill Broadway, London","51.6, -0.1119",51.5915429,-0.1430246
Barista Coffee House,"51.6136876, -0.2755771999999999",ChIJof-nbqQWdkgR3ockSIdXzr0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.5,54,"5, Station Forecourt, Station Road, London, Edgware","51.5898, -0.3346",51.6136876,-0.2755771999999999
Costa Coffee,"51.578639, -0.399112",ChIJ53t0mb9sdkgRp7SGGS3tOsY,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,251,"153 Field End Road, Pinner","51.5898, -0.3346",51.578639,-0.399112
Caffè Nero,"51.61307679999999, -0.2772073",ChIJJ44YTaQWdkgRQ_deYMHXeUQ,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3.9,410,"Unit 2, 67-70 Station Road, Edgware","51.5898, -0.3346",51.61307679999999,-0.2772073
Costa Coffee,"51.5641, -0.354526",ChIJ6UsHgRgTdkgRvYUNfn72MZw,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.1,498,"250 / 252 Northolt Road, South Harrow, Harrow","51.5898, -0.3346",51.5641,-0.354526
Imperial Cafe,"51.5761555, -0.3702117",ChIJHQEYQDYTdkgR2fNinSsxSFg,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.7,306,"238 Imperial Drive, Harrow","51.5898, -0.3346",51.5761555,-0.3702117
Sunrise Cafe,"51.6039171, -0.339743",ChIJw_AmgIQUdkgRbS0bnwObugI,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.4,123,"343 High Road, Harrow","51.5898, -0.3346",51.6039171,-0.339743
Randalls Coffee House,"51.58203409999999, -0.3324514",ChIJEb3fyHUTdkgRru5BOZ-fzxE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,90,"284B Station Road, Harrow","51.5898, -0.3346",51.58203409999999,-0.3324514
Costa,"51.6172742, -0.3120828",ChIJL7uLNGoUdkgR_Y7QrZ05W2w,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.1,302,"24-26 Church Road, Stanmore","51.5898, -0.3346",51.6172742,-0.3120828
Costa Coffee,"51.58589, -0.33413",ChIJP1sxBXcTdkgR3zMPAQDRXFY,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",3.8,26,"2, Tesco, Harrow","51.5898, -0.3346",51.58589,-0.33413
Red Brick Cafe,"51.5943109, -0.3348485",ChIJtwIAx34TdkgRIlU3RY1q7i4,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.4,49,"38-40 High Street, Harrow","51.5898, -0.3346",51.5943109,-0.3348485
Rumble Tumble Harrow Ltd,"51.5850435, -0.3310073",ChIJSZY6MHYTdkgR1nA_C05AU5A,"['cafe', 'school', 'food', 'point_of_interest', 'establishment']",4.0,372,"Ground Floor, Bruce House, Lower, Sovereign Place, Harrow","51.5898, -0.3346",51.5850435,-0.3310073
Costa Coffee,"51.5966, -0.335204",ChIJ0dRcZn4TdkgRvQUUjxDBeLo,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,410,"112-114, Wealdstone, High Street, Harrow","51.5898, -0.3346",51.5966,-0.335204
Costa Coffee,"51.58231, -0.3366599999999999",ChIJlSwg83MTdkgRNcjZRAj4ilY,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,653,"76-80 St Anns Road, Harrow","51.5898, -0.3346",51.58231,-0.3366599999999999
Mooboo,"51.5815078, -0.3393113",ChIJNfSRSnITdkgRLPAe0_vvYRw,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,180,"St Georges Shopping Centre St Ann's Road, Harrow","51.5898, -0.3346",51.5815078,-0.3393113
Bru coffee & more,"51.5799485, -0.3357646",ChIJ1a0KynMTdkgR51_pv8ybXmY,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,754,"Square 1, Bond Apartments, College Road, Harrow","51.5898, -0.3346",51.5799485,-0.3357646
Treats,"51.58003069999999, -0.3374615",ChIJKV6mKYQUdkgRpl3AQ2r-qWE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",3.9,18,"College Road, Harrow","51.5898, -0.3346",51.58003069999999,-0.3374615
Caffè Nero,"51.579555, -0.3368828",ChIJqbvQenMTdkgR1RYQZUPWxDs,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.1,70,"on the Hill Station, Station Approach, Harrow","51.5898, -0.3346",51.579555,-0.3368828
The Moat Cafe,"51.59404749999999, -0.354366",ChIJTcQqA14TdkgR2y94J8Jdags,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,108,"Pinner View, Harrow","51.5898, -0.3346",51.59404749999999,-0.354366
Costa Coffee,"51.60069999999999, -0.3180999999999999",ChIJq-MwhXcUdkgREpdV1LOH4AI,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.4,330,"8 Warwick Parade Kenton Lane, Harrow","51.5898, -0.3346",51.60069999999999,-0.3180999999999999
Costa Coffee,"51.5936, 0.21781",ChIJO7T_mma72EcRVfw9R8LmPiU,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.0,136,"Bryant Avenue, Romford","51.5812, 0.1837",51.5936,0.21781
Cosy Cafe,"51.5841228, 0.22022",ChIJtzrxkW672EcRLBgsFRhqyLw,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,198,"197 Ardleigh Green Road, Hornchurch","51.5812, 0.1837",51.5841228,0.22022
Shell,"51.59127179999999, 0.1790432",ChIJo_iAdLuk2EcRCUZeYLzS1z0,"['gas_station', 'car_wash', 'convenience_store', 'meal_delivery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,82,"Eastern Avenue East, Romford","51.5812, 0.1837",51.59127179999999,0.1790432
Costa Coffee,"51.586734, 0.200045",ChIJS-tWYEW72EcRlCS0F1vh7OM,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,207,"83 Main Road, Romford","51.5812, 0.1837",51.586734,0.200045
bp,"51.5650117, 0.2036263",ChIJjXg--SS72EcR1hawT9fDZog,"['gas_station', 'car_wash', 'atm', 'cafe', 'finance', 'food', 'point_of_interest', 'establishment']",4.5,12,"132 Hornchurch Road, Hornchurch","51.5812, 0.1837",51.5650117,0.2036263
Costa Coffee,"51.592862, 0.215658",ChIJx5DP3Wa72EcRhIJoa6pMa0k,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.9,109,"NEXT, Gallows Corner, Gallows Corner Retail Park, Colchester Road, Romford","51.5812, 0.1837",51.592862,0.215658
ODEON Uxbridge,"51.5450527, -0.4756154",ChIJcZ1xXg5udkgRleINWx2c0Ls,"['movie_theater', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,2447,"302, The chimes shopping centre, Uxbridge","51.5441, -0.476",51.5450527,-0.4756154
"The Black Horse Pub & Restaurant, Iver Heath","51.5373325, -0.5156964999999999",ChIJg_sqUEpudkgRoj4B-RQNBms,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,729,"95 Slough Road, Iver","51.5441, -0.476",51.5373325,-0.5156964999999999
Costa Coffee,"51.57409999999999, -0.424681",ChIJp9CQhfVsdkgRmaAQGUbcA7w,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.9,382,"100 - 102 High Street, Ruislip","51.5441, -0.476",51.57409999999999,-0.424681
Costa Coffee,"51.547418, -0.48107",ChIJJaoEb3pudkgRMABG9GQ5kn4,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,976,"51-52 High Street, Uxbridge","51.5441, -0.476",51.547418,-0.48107
Pret A Manger,"51.5460697, -0.4808929",ChIJ-1GWDXpudkgRs8Xrtx6Lwuc,"['cafe', 'bakery', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'health', 'establishment']",4.1,291,"The Pavilions Shopping Centre, Grainge's Yard, Uxbridge","51.5441, -0.476",51.5460697,-0.4808929
Village Bed & Breakfast and Cafe,"51.53536219999999, -0.4608473",ChIJK8ZpWd1tdkgRScRyhC96Hg4,"['cafe', 'lodging', 'food', 'point_of_interest', 'establishment']",4.0,3,"105 Hillingdon Hill, Uxbridge","51.5441, -0.476",51.53536219999999,-0.4608473
Greggs,"51.5467867, -0.4799914",ChIJfZzzhnpudkgRFbQ9D9qYhPM,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.9,292,"148-152 High Street, Uxbridge","51.5441, -0.476",51.5467867,-0.4799914
Lady Marmalade Cafe,"51.52251219999999, -0.4812015000000001",ChIJBXKnEAVudkgR3MPhEMlnx1o,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,136,"30 High Street, Uxbridge","51.5441, -0.476",51.52251219999999,-0.4812015000000001
Caffè Nero,"51.545424, -0.4766446",ChIJzxUQVXdudkgRnqDgntTYtM0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,622,"185-186, The chimes shopping centre, Uxbridge","51.5441, -0.476",51.545424,-0.4766446
Lavazza,"51.5449865, -0.4793672",ChIJDWBCsTgFdkgR_7fGtwNNq0c,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,47,"5th, The Charter Building, Vine Street, Uxbridge","51.5441, -0.476",51.5449865,-0.4793672
Starbucks Coffee,"51.545742, -0.478584",ChIJXcfJB3pudkgR1lfkcra0TZQ,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,511,"High Street, Uxbridge","51.5441, -0.476",51.545742,-0.478584
LAB Coffee Works,"51.54548200000001, -0.47927",ChIJN9qAn3BudkgRTka33KJsfj4,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.6,34,"The Charter Building, Charter Place, Uxbridge","51.5441, -0.476",51.54548200000001,-0.47927
Costa Coffee,"51.546606, -0.4781420000000001",ChIJK6DoDnpudkgRHHq5mB7nrKc,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.3,355,"172 High Street, Uxbridge","51.5441, -0.476",51.546606,-0.4781420000000001
Creams Cafe Uxbridge,"51.54836719999999, -0.4778184000000001",ChIJnbBEf3ludkgRWgUXGzMapek,"['cafe', 'bakery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,955,"61 Belmont Road, Uxbridge","51.5441, -0.476",51.54836719999999,-0.4778184000000001
1966,"51.5328974, -0.4735067000000001",ChIJcUJY8gpudkgR2bPYVpUFRcM,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,267,"Brunel University London, Kingston Lane, Uxbridge","51.5441, -0.476",51.5328974,-0.4735067000000001
Bertram's Café,"51.5561294, -0.4913555000000001",ChIJCa3sCopudkgRB2vYszIXt6c,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,155,"95 Oxford Road, Denham, Uxbridge","51.5441, -0.476",51.5561294,-0.4913555000000001
Maison Du Soleil,"51.56463220000001, -0.4453297",ChIJn5uc-UhsdkgRGzNgUfaIvFE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.5,161,"25 Swakeleys Road, Ickenham, Uxbridge","51.5441, -0.476",51.56463220000001,-0.4453297
Costa Coffee,"51.515678, -0.477281",ChIJJfssBv5xdkgRReEA_w0-7Mc,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,79,"Trout Road, West Drayton","51.5441, -0.476",51.515678,-0.477281
bp,"51.56826520000001, -0.5047423000000001",ChIJ9XoVG_NudkgRWGCIpGKi3SE,"['gas_station', 'atm', 'convenience_store', 'cafe', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",3.5,31,"Oxford Road, Uxbridge","51.5441, -0.476",51.56826520000001,-0.5047423000000001
Costa Coffee,"51.5201824, -0.505983",ChIJc54p6iVudkgRebP0u-P6WVs,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.4,109,"High Street, Iver","51.5441, -0.476",51.5201824,-0.505983
Curzon Richmond,"51.4592363, -0.3070303999999999",ChIJDeGlH2IMdkgRgNY8wJ-NeTM,"['movie_theater', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",4.5,264,"3 Water Lane, Richmond","51.4746, -0.368",51.4592363,-0.3070303999999999
The Eel Pie,"51.4469808, -0.3265452",ChIJhz8jkGEMdkgRRK1tAA-1yOA,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",4.5,978,"9-11 Church Street, Twickenham","51.4746, -0.368",51.4469808,-0.3265452
Asda Feltham Superstore,"51.4467163, -0.4118487",ChIJIyBNH3JzdkgRtdilh0Fe_xI,"['supermarket', 'cafe', 'pharmacy', 'grocery_or_supermarket', 'clothing_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']",4.1,4080,"Tilley Road, Feltham","51.4746, -0.368",51.4467163,-0.4118487
Costa Coffee,"51.4464, -0.410527",ChIJlcba-W1zdkgRysRbaek6rp8,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,315,"36 The Centre, Feltham","51.4746, -0.368",51.4464,-0.410527
Mount Cafe,"51.4402074, -0.3869331999999999",ChIJAQ6ZGlBzdkgR88N2lQidhck,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,133,"Market Parade, 11 Hampton Road West, Hanworth, Feltham","51.4746, -0.368",51.4402074,-0.3869331999999999
Squire’s Garden Centre,"51.4354405, -0.3518239",ChIJraSTrJgMdkgRPzOxp3F9wLo,"['cafe', 'pet_store', 'store', 'food', 'point_of_interest', 'establishment']",4.4,2127,"Sixth Cross Road, Twickenham","51.4746, -0.368",51.4354405,-0.3518239
Bill's Richmond Restaurant,"51.4580509, -0.3054919",ChIJy24lXkcMdkgR5EaQGFhx3po,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,2188,"1-3 Hill Rise, Richmond","51.4746, -0.368",51.4580509,-0.3054919
Costa Coffee,"51.46842, -0.3637400000000001",ChIJdbtF4dkMdkgR3JlywZP43Hg,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,1151,"241 High Street, Hounslow","51.4746, -0.368",51.46842,-0.3637400000000001
Caffe Mamma,"51.4664059, -0.2974021000000001",ChIJZa9lbjEMdkgRd71BEgGhKEw,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,436,"110 Kew Road, Richmond","51.4746, -0.368",51.4664059,-0.2974021000000001
Costa Coffee,"51.447705, -0.328678",ChIJK9F0eYoMdkgR30Vz1AA4D2Y,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,349,"26-28 London Road, Twickenham","51.4746, -0.368",51.447705,-0.328678
Islamic Integration Community Centre,"51.46276229999999, -0.389633",ChIJexbCOCVzdkgR0KPxg8i0u8I,"['mosque', 'cafe', 'place_of_worship', 'store', 'health', 'food', 'point_of_interest', 'establishment']",4.8,187,"531 Staines Road, Hounslow","51.4746, -0.368",51.46276229999999,-0.389633
The Coffee Bean,"51.4519645, -0.3577604",ChIJReUUrsAMdkgRy-_TDOsfKZE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.8,53,"37B High Street, Twickenham","51.4746, -0.368",51.4519645,-0.3577604
Coffee And Muffins,"51.46784390000001, -0.3629304",ChIJ2btVjdkMdkgRVe6MdK9UUpo,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2.7,15,"High Street, Hounslow","51.4746, -0.368",51.46784390000001,-0.3629304
Jungle VIP,"51.4706512, -0.3630229",ChIJcd-RO9gMdkgReyZaDPADGx0,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,497,"Unit 5, The Blenheim Centre, Prince Regent Road, Hounslow","51.4746, -0.368",51.4706512,-0.3630229
Wild Bean Cafe,"51.4788863, -0.3617814",ChIJPeDduCUNdkgRREAcTxsMsR4,"['cafe', 'convenience_store', 'store', 'food', 'point_of_interest', 'establishment']",2.0,1,"481 Great West Road, Hounslow","51.4746, -0.368",51.4788863,-0.3617814
bp,"51.47901999999999, -0.36188",ChIJSXqTtSUNdkgRIPQyHfxVsq4,"['gas_station', 'cafe', 'convenience_store', 'store', 'food', 'point_of_interest', 'establishment']",3.3,37,"481 Great West Road, Hounslow","51.4746, -0.368",51.47901999999999,-0.36188
Caffè Nero,"51.46853489999999, -0.3631513",ChIJLxfBwdkMdkgR2SMvOaKSdQ0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,1154,"231 High Street, Hounslow","51.4746, -0.368",51.46853489999999,-0.3631513
